parent_name,parent_entity_id,parent_entity_type,parent_lei,parent_permid,parent_registration_country,parent_headquarter_country,overall_share_percent,ownership_path,ownership_path_datasource_ids,immediate_source_owner,immediate_source_owner_entity_id,source_operator,source_operator_id,source_id,source_name,source_sector,source_subsector
,,,,,,,,,,,,Vistara,E100002015043,3172079,Chandigarh International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India,E100002014292,3172634,Chaudhary Charan Singh International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India Express,E100002014293,3172634,Chaudhary Charan Singh International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Akasa Air,E100002014348,3172634,Chaudhary Charan Singh International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Alliance Air,E100002014360,3172634,Chaudhary Charan Singh International Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3172634,Chaudhary Charan Singh International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Star Air,E100002014935,3172634,Chaudhary Charan Singh International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Vistara,E100002015043,3172634,Chaudhary Charan Singh International Airport,transportation,domestic-aviation
,,,,,,,,,,,,flybig,E100002014579,3172634,Chaudhary Charan Singh International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India,E100002014292,3172774,Chennai International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India Express,E100002014293,3172774,Chennai International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Akasa Air,E100002014348,3172774,Chennai International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Alliance Air,E100002014360,3172774,Chennai International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Blue Dart,E100002014434,3172774,Chennai International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Corendon Airlines,E100002014505,3172774,Chennai International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Deutsche Lufthansa AG,E100002014520,3172774,Chennai International Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3172774,Chennai International Airport,transportation,domestic-aviation
,,,,,,,,,,,,SpiceJet,E100002014928,3172774,Chennai International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Vistara,E100002015043,3172774,Chennai International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India,E100002014292,3170781,Chhatrapati Shivaji International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India Express,E100002014293,3170781,Chhatrapati Shivaji International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Akasa Air,E100002014348,3170781,Chhatrapati Shivaji International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Alliance Air,E100002014360,3170781,Chhatrapati Shivaji International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Blue Dart,E100002014434,3170781,Chhatrapati Shivaji International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Cathay Pacific Airways,E100002014465,3170781,Chhatrapati Shivaji International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Corendon Airlines Europe,E100002014506,3170781,Chhatrapati Shivaji International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Deutsche Lufthansa AG,E100002014520,3170781,Chhatrapati Shivaji International Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3170781,Chhatrapati Shivaji International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Quikjet Cargo Airlines,E100002019128,3170781,Chhatrapati Shivaji International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Red Wings Airlines,E100002014839,3170781,Chhatrapati Shivaji International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Royal Bhutan Airlines,E100002014850,3170781,Chhatrapati Shivaji International Airport,transportation,domestic-aviation
,,,,,,,,,,,,SpiceJet,E100002014928,3170781,Chhatrapati Shivaji International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Star Air,E100002014935,3170781,Chhatrapati Shivaji International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Vistara,E100002015043,3170781,Chhatrapati Shivaji International Airport,transportation,domestic-aviation
,,,,,,,,,,,,flybig,E100002014579,40682630,Chitrakoot Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India,E100002014292,3171090,Cochin International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India Express,E100002014293,3171090,Cochin International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Akasa Air,E100002014348,3171090,Cochin International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Alliance Air,E100002014360,3171090,Cochin International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Corendon Airlines Europe,E100002014506,3171090,Cochin International Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3171090,Cochin International Airport,transportation,domestic-aviation
,,,,,,,,,,,,SpiceJet,E100002014928,3171090,Cochin International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Vistara,E100002015043,3171090,Cochin International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India,E100002014292,3171034,Coimbatore International Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3171034,Coimbatore International Airport,transportation,domestic-aviation
,,,,,,,,,,,,SpiceJet,E100002014928,3171034,Coimbatore International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Vistara,E100002015043,3171034,Coimbatore International Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiaOne Air,E100002019142,3171089,Cooch Behar Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India,E100002014292,3171703,Dabolim Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India Express,E100002014293,3171703,Dabolim Airport,transportation,domestic-aviation
,,,,,,,,,,,,Alliance Air,E100002014360,3171703,Dabolim Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3171703,Dabolim Airport,transportation,domestic-aviation
,,,,,,,,,,,,SpiceJet,E100002014928,3171703,Dabolim Airport,transportation,domestic-aviation
,,,,,,,,,,,,Vistara,E100002015043,3171703,Dabolim Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3171212,Darbhanga Airport,transportation,domestic-aviation
,,,,,,,,,,,,SpiceJet,E100002014928,3171212,Darbhanga Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India,E100002014292,3171228,Dehradun Jolly Grant Airport,transportation,domestic-aviation
,,,,,,,,,,,,Alliance Air,E100002014360,3171228,Dehradun Jolly Grant Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3171228,Dehradun Jolly Grant Airport,transportation,domestic-aviation
,,,,,,,,,,,,SpiceJet,E100002014928,3171228,Dehradun Jolly Grant Airport,transportation,domestic-aviation
,,,,,,,,,,,,Vistara,E100002015043,3171228,Dehradun Jolly Grant Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3171238,Deoghar Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India,E100002014292,3171968,Devi Ahilyabai Holkar Airport,transportation,domestic-aviation
