parent_name,parent_entity_id,parent_entity_type,parent_lei,parent_permid,parent_registration_country,parent_headquarter_country,overall_share_percent,ownership_path,ownership_path_datasource_ids,immediate_source_owner,immediate_source_owner_entity_id,source_operator,source_operator_id,source_id,source_name,source_sector,source_subsector
Aditya Birla Management Corporation Pvt Ltd,E100000120031,legal entity,335800GITXOP4O6TQM65,5000053377,IND,IND,,Aditya Birla Management Corporation Pvt Ltd -> Essel Mining & Industries Ltd [unknown %] -> IGH Holdings Pvt Ltd [100.0%] -> Hindalco Industries Ltd [15.58%] -> Maliparbat Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233162,Maliparbat Mine,mineral-extraction,bauxite-mining
natural person(s),E100000123261,person,not applicable,not applicable,,,,natural person(s)  -> Hindalco Industries Ltd [5.16%] -> Maliparbat Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233162,Maliparbat Mine,mineral-extraction,bauxite-mining
natural person(s),E100000123261,person,not applicable,not applicable,,,,natural person(s)  -> Meghare Mine [unknown %],,natural person(s),E100000123261,,,42233164,Meghare Mine,mineral-extraction,bauxite-mining
natural person(s),E100000123261,person,not applicable,not applicable,,,,natural person(s)  -> Mevasa Laterite Mine [unknown %],,natural person(s),E100000123261,,,42233165,Mevasa Laterite Mine,mineral-extraction,bauxite-mining
State of Gujarat,E100000131638,state,,5000004492,,IND,,State of Gujarat  -> Gujarat Mineral Development Co Ltd [74.0%] -> Mevasa Mine [unknown %],,Gujarat Mineral Development Co Ltd,E100001000669,,,42233166,Mevasa Mine,mineral-extraction,bauxite-mining
Gujarat Mineral Development Co Ltd,E100001000669,legal entity,335800B8OP5L7DH9VD35,4295872462,IND,IND,,Gujarat Mineral Development Co Ltd -> Mevasa Mine [unknown %],,Gujarat Mineral Development Co Ltd,E100001000669,,,42233166,Mevasa Mine,mineral-extraction,bauxite-mining
natural person(s),E100000123261,person,not applicable,not applicable,,,,natural person(s)  -> Gujarat Mineral Development Co Ltd [18.22%] -> Mevasa Mine [unknown %],,Gujarat Mineral Development Co Ltd,E100001000669,,,42233166,Mevasa Mine,mineral-extraction,bauxite-mining
small shareholder(s),E100001015587,unknown entity,not applicable,not applicable,,,,small shareholder(s)  -> Gujarat Mineral Development Co Ltd [7.78%] -> Mevasa Mine [unknown %],,Gujarat Mineral Development Co Ltd,E100001000669,,,42233166,Mevasa Mine,mineral-extraction,bauxite-mining
Panditrao Mines and Minerals Pvt Ltd,E100002011136,legal entity,,,,,,Panditrao Mines and Minerals Pvt Ltd -> Minche Budruk Mine [unknown %],,Panditrao Mines and Minerals Pvt Ltd,E100002011136,,,42233167,Minche Budruk Mine,mineral-extraction,bauxite-mining
natural person(s),E100000123261,person,not applicable,not applicable,,,,natural person(s)  -> Mohla Mine [unknown %],,natural person(s),E100000123261,,,42233168,Mohla Mine,mineral-extraction,bauxite-mining
Orient Ceratech Ltd,E100002011101,,,,,,,Orient Ceratech Ltd -> Mordhar Mine [unknown %],,Orient Ceratech Ltd,E100002011101,,,42233169,Mordhar Mine,mineral-extraction,bauxite-mining
Saurashtra Calcine Bauxite and Allied Industries Ltd,E100002011119,legal entity,,,,,,Saurashtra Calcine Bauxite and Allied Industries Ltd -> Mota Asota Mine [unknown %],,Saurashtra Calcine Bauxite and Allied Industries Ltd,E100002011119,,,42233170,Mota Asota Mine,mineral-extraction,bauxite-mining
State of Gujarat,E100000131638,state,,5000004492,,IND,,State of Gujarat  -> Gujarat Mineral Development Co Ltd [74.0%] -> Mothala-Balachod Mine [unknown %],,Gujarat Mineral Development Co Ltd,E100001000669,,,42233171,Mothala-Balachod Mine,mineral-extraction,bauxite-mining
